name,series,tier_raw,price,tier,next_tier,K,avg_out_next,value_per_item,buy_cost,margin
SSG 08 | Dragonfire,Glove Case,Covert,5038.03,Covert,Gold,5.0,90195.306,15333.20202,5038.03,10295.172020000002
M4A4 | Buzz Kill,Glove Case,Covert,8028.87,Covert,Gold,5.0,90195.306,15333.20202,8028.87,7304.332020000001
AWP | Neo-Noir,Danger Zone Case,Covert,620.09,Covert,Gold,5.0,10017.656153846154,1703.001546153846,620.09,1082.9115461538458
R8 Revolver | Fade,Revolver Case,Covert,925.62,Covert,Gold,5.0,8563.1434375,1455.734384375,925.62,530.114384375
AWP | Chromatic Aberration,Recoil Case,Covert,890.02,Covert,Gold,5.0,7831.637,1331.3782899999999,890.02,441.3582899999999
MP9 | Starlight Protector,Dreams & Nightmares Case,Covert,1174.83,Covert,Gold,5.0,8424.131428571429,1432.102342857143,1174.83,257.27234285714303
AWP | Man-o'-war,Chroma Case,Covert,1224.67,Covert,Gold,5.0,8471.524444444445,1440.1591555555556,1224.67,215.4891555555555
MAC-10 | Neon Rider,Chroma 2 Case,Covert,1352.83,Covert,Gold,5.0,9095.015714285715,1546.1526714285715,1352.83,193.32267142857154
Desert Eagle | Kumicho Dragon,Operation Wildfire Case,Classified,286.58,Classified,Covert,10.0,5377.95,457.12575,286.58,170.54575
AUG | Fleet Flock,Chroma 3 Case,Classified,108.58,Classified,Covert,10.0,3102.125,263.680625,108.58,155.10062500000004
CZ75-Auto | Victoria,CSGO Weapon Case 3,Covert,982.58,Covert,Gold,5.0,6642.040454545454,1129.1468772727271,982.58,146.56687727272708
Galil AR | Orange DDPAT,ESports 2013 Case,Restricted,451.27,Restricted,Classified,10.0,6604.02,561.3417000000001,451.27,110.07170000000008
R8 Revolver | Skull Crusher,Prisma Case,Classified,110.36,Classified,Covert,10.0,2298.715,195.39077500000002,110.36,85.03077500000002
USP-S | Printstream,Recoil Case,Covert,1250.16,Covert,Gold,5.0,7831.637,1331.3782899999999,1250.16,81.2182899999998
MP5-SD | Phosphor,Danger Zone Case,Classified,139.34,Classified,Covert,10.0,2307.685,196.153225,139.34,56.81322499999999
P250 | Splash,ESports 2013 Case,Restricted,505.03,Restricted,Classified,10.0,6604.02,561.3417000000001,505.03,56.31170000000009
AK-47 | Legion of Anubis,Fracture Case,Covert,567.26,Covert,Gold,5.0,3640.8294117647056,618.9409999999999,567.26,51.680999999999926
UMP-45 | Momentum,Danger Zone Case,Classified,144.54,Classified,Covert,10.0,2307.685,196.153225,144.54,51.613225
Desert Eagle | Mecha Industries,Danger Zone Case,Classified,171.95,Classified,Covert,10.0,2307.685,196.153225,171.95,24.203225000000003
UMP-45 | Grand Prix,Chroma 2 Case,Restricted,18.08,Restricted,Classified,10.0,497.12999999999994,42.256049999999995,18.08,24.176049999999996
FAMAS | Doomkitty,ESports 2013 Case,Mil-Spec,40.3,Mil-Spec,Restricted,10.0,686.9033333333333,58.386783333333334,40.3,18.086783333333337
Nova | Hyper Beast,Operation Wildfire Case,Classified,443.44,Classified,Covert,10.0,5377.95,457.12575,443.44,13.685749999999985
MAG-7 | Memento,ESports 2013 Case,Mil-Spec,49.27,Mil-Spec,Restricted,10.0,686.9033333333333,58.386783333333334,49.27,9.11678333333333
CZ75-Auto | Pole Position,Chroma 2 Case,Restricted,36.24,Restricted,Classified,10.0,497.12999999999994,42.256049999999995,36.24,6.016049999999993
UMP-45 | Exposure,Spectrum 2 Case,Restricted,30.04,Restricted,Classified,10.0,381.04333333333335,32.38868333333333,30.04,2.3486833333333337
MP9 | Goo,Spectrum 2 Case,Restricted,30.11,Restricted,Classified,10.0,381.04333333333335,32.38868333333333,30.11,2.2786833333333334
SG 553 | Phantom,Spectrum 2 Case,Restricted,30.26,Restricted,Classified,10.0,381.04333333333335,32.38868333333333,30.26,2.1286833333333313
G3SG1 | Ventilator,Gamma 2 Case,Mil-Spec,6.9,Mil-Spec,Restricted,10.0,101.44399999999999,8.622739999999999,6.9,1.7227399999999982
AWP | Worm God,Chroma 2 Case,Restricted,40.58,Restricted,Classified,10.0,497.12999999999994,42.256049999999995,40.58,1.6760499999999965
M249 | Nebula Crusader,Shadow Case,Restricted,73.9,Restricted,Classified,10.0,886.0099999999999,75.31084999999999,73.9,1.4108499999999822
XM1014 | Slipstream,Gamma 2 Case,Mil-Spec,7.33,Mil-Spec,Restricted,10.0,101.44399999999999,8.622739999999999,7.33,1.2927399999999984
Negev | Dazzle,Gamma 2 Case,Mil-Spec,7.47,Mil-Spec,Restricted,10.0,101.44399999999999,8.622739999999999,7.47,1.1527399999999988
SCAR-20 | Outbreak,Revolver Case,Mil-Spec,7.54,Mil-Spec,Restricted,10.0,101.96666666666665,8.667166666666665,7.54,1.1271666666666649
P90 | Grim,Gamma 2 Case,Mil-Spec,7.76,Mil-Spec,Restricted,10.0,101.44399999999999,8.622739999999999,7.76,0.8627399999999987
P90 | Chopper,Gamma Case,Restricted,40.15,Restricted,Classified,10.0,482.0566666666667,40.97481666666666,40.15,0.8248166666666634
UMP-45 | Moonrise,Prisma Case,Restricted,24.92,Restricted,Classified,10.0,301.395,25.618575,24.92,0.6985749999999982
XM1014 | Teclu Burner,Revolver Case,Restricted,54.04,Restricted,Classified,10.0,640.2166666666667,54.418416666666666,54.04,0.3784166666666664
P2000 | Imperial,Revolver Case,Mil-Spec,8.61,Mil-Spec,Restricted,10.0,101.96666666666665,8.667166666666665,8.61,0.05716666666666548
XM1014 | Quicksilver,Chroma Case,Mil-Spec,8.25,Mil-Spec,Restricted,10.0,96.2625,8.1823125,8.25,-0.0676874999999999
Negev | Man-o'-war,Chroma 2 Case,Mil-Spec,3.34,Mil-Spec,Restricted,10.0,38.07,3.23595,3.34,-0.10404999999999998
XM1014 | Ziggy,Spectrum 2 Case,Restricted,32.53,Restricted,Classified,10.0,381.04333333333335,32.38868333333333,32.53,-0.1413166666666683
AUG | Amber Slipstream,Horizon Case,Mil-Spec,4.91,Mil-Spec,Restricted,10.0,54.410000000000004,4.62485,4.91,-0.2851499999999998
SCAR-20 | Grotto,Chroma Case,Mil-Spec,8.54,Mil-Spec,Restricted,10.0,96.2625,8.1823125,8.54,-0.35768749999999905
M249 | Aztec,CS20 Case,Restricted,20.22,Restricted,Classified,10.0,233.63333333333333,19.85883333333333,20.22,-0.3611666666666693
CZ75-Auto | Tacticat,Spectrum 2 Case,Restricted,32.75,Restricted,Classified,10.0,381.04333333333335,32.38868333333333,32.75,-0.3613166666666672
Five-SeveN | Scumbria,Gamma 2 Case,Mil-Spec,9.11,Mil-Spec,Restricted,10.0,101.44399999999999,8.622739999999999,9.11,-0.4872600000000009
AUG | Ricochet,Revolver Case,Mil-Spec,9.39,Mil-Spec,Restricted,10.0,101.96666666666665,8.667166666666665,9.39,-0.7228333333333357
Negev | Prototype,Prisma 2 Case,Mil-Spec,4.55,Mil-Spec,Restricted,10.0,44.510000000000005,3.78335,4.55,-0.7666499999999998
XM1014 | Zombie Offensive,Dreams & Nightmares Case,Restricted,18.51,Restricted,Classified,10.0,207.54999999999998,17.64175,18.51,-0.8682500000000033
MAC-10 | Rangeen,Shadow Case,Mil-Spec,8.33,Mil-Spec,Restricted,10.0,87.715,7.455775,8.33,-0.874225
MAG-7 | Cobalt Core,Shadow Case,Mil-Spec,8.33,Mil-Spec,Restricted,10.0,87.715,7.455775,8.33,-0.874225
PP-Bizon | Space Cat,Dreams & Nightmares Case,Restricted,18.65,Restricted,Classified,10.0,207.54999999999998,17.64175,18.65,-1.0082500000000003
R8 Revolver | Bone Forged,Prisma 2 Case,Mil-Spec,5.05,Mil-Spec,Restricted,10.0,44.510000000000005,3.78335,5.05,-1.2666499999999998
UMP-45 | Briefing,Gamma 2 Case,Mil-Spec,9.96,Mil-Spec,Restricted,10.0,101.44399999999999,8.622739999999999,9.96,-1.3372600000000023
Dual Berettas | Shred,Horizon Case,Mil-Spec,5.98,Mil-Spec,Restricted,10.0,54.410000000000004,4.62485,5.98,-1.35515
M249 | System Lock,Chroma Case,Mil-Spec,9.54,Mil-Spec,Restricted,10.0,96.2625,8.1823125,9.54,-1.357687499999999
AUG | Tom Cat,Prisma 2 Case,Mil-Spec,5.26,Mil-Spec,Restricted,10.0,44.510000000000005,3.78335,5.26,-1.4766499999999998
AUG | Aristocrat,Gamma Case,Restricted,42.57,Restricted,Classified,10.0,482.0566666666667,40.97481666666666,42.57,-1.5951833333333383
CZ75-Auto | Imprint,Gamma 2 Case,Mil-Spec,10.25,Mil-Spec,Restricted,10.0,101.44399999999999,8.622739999999999,10.25,-1.6272600000000015
Desert Eagle | Corinthian,Revolver Case,Mil-Spec,10.32,Mil-Spec,Restricted,10.0,101.96666666666665,8.667166666666665,10.32,-1.6528333333333354
SG 553 | Ol' Rusty,Fracture Case,Mil-Spec,4.2,Mil-Spec,Restricted,10.0,29.384999999999998,2.497725,4.2,-1.7022750000000002
Nova | Exo,Gamma Case,Mil-Spec,5.9,Mil-Spec,Restricted,10.0,48.768,4.14528,5.9,-1.7547200000000007
Negev | Ultralight,Fracture Case,Mil-Spec,4.27,Mil-Spec,Restricted,10.0,29.384999999999998,2.497725,4.27,-1.7722749999999996
MP7 | Armor Core,Chroma 2 Case,Mil-Spec,5.05,Mil-Spec,Restricted,10.0,38.07,3.23595,5.05,-1.81405
P250 | Cassette,Fracture Case,Mil-Spec,4.34,Mil-Spec,Restricted,10.0,29.384999999999998,2.497725,4.34,-1.8422749999999999
SG 553 | Aerial,Gamma Case,Mil-Spec,6.26,Mil-Spec,Restricted,10.0,48.768,4.14528,6.26,-2.11472
Sawed-Off | Origami,Chroma 2 Case,Mil-Spec,5.48,Mil-Spec,Restricted,10.0,38.07,3.23595,5.48,-2.2440500000000005
MP7 | Special Delivery,Shadow Case,Restricted,77.61,Restricted,Classified,10.0,886.0099999999999,75.31084999999999,77.61,-2.2991500000000116
FAMAS | Crypsis,Prisma Case,Mil-Spec,7.97,Mil-Spec,Restricted,10.0,66.69800000000001,5.66933,7.97,-2.3006699999999993
SCAR-20 | Jungle Slipstream,Spectrum 2 Case,Mil-Spec,4.98,Mil-Spec,Restricted,10.0,31.137999999999998,2.64673,4.98,-2.3332700000000006
SCAR-20 | Poultrygeist,Dreams & Nightmares Case,Mil-Spec,4.55,Mil-Spec,Restricted,10.0,24.332,2.06822,4.55,-2.4817799999999997
MAG-7 | Foresight,Dreams & Nightmares Case,Mil-Spec,4.62,Mil-Spec,Restricted,10.0,24.332,2.06822,4.62,-2.55178
R8 Revolver | Survivalist,Horizon Case,Mil-Spec,7.33,Mil-Spec,Restricted,10.0,54.410000000000004,4.62485,7.33,-2.7051499999999997
Nova | Windblown,Snakebite Case,Mil-Spec,5.12,Mil-Spec,Restricted,10.0,28.05,2.38425,5.12,-2.73575
Galil AR | Akoben,Prisma Case,Mil-Spec,8.47,Mil-Spec,Restricted,10.0,66.69800000000001,5.66933,8.47,-2.80067
MAC-10 | Oceanic,Spectrum 2 Case,Mil-Spec,5.48,Mil-Spec,Restricted,10.0,31.137999999999998,2.64673,5.48,-2.8332700000000006
UMP-45 | Oscillator,Snakebite Case,Mil-Spec,5.26,Mil-Spec,Restricted,10.0,28.05,2.38425,5.26,-2.8757499999999996
MAG-7 | Popdog,CS20 Case,Mil-Spec,5.41,Mil-Spec,Restricted,10.0,28.26,2.4021,5.41,-3.0079000000000002
P90 | Off World,Prisma Case,Mil-Spec,8.68,Mil-Spec,Restricted,10.0,66.69800000000001,5.66933,8.68,-3.0106699999999993
Tec-9 | Flash Out,CS20 Case,Mil-Spec,5.48,Mil-Spec,Restricted,10.0,28.26,2.4021,5.48,-3.0779000000000005
Desert Eagle | Bronze Deco,Chroma 2 Case,Mil-Spec,6.33,Mil-Spec,Restricted,10.0,38.07,3.23595,6.33,-3.09405
Five-SeveN | Buddy,CS20 Case,Restricted,23.06,Restricted,Classified,10.0,233.63333333333333,19.85883333333333,23.06,-3.201166666666669
FAMAS | Survivor Z,Shadow Case,Mil-Spec,10.68,Mil-Spec,Restricted,10.0,87.715,7.455775,10.68,-3.2242249999999997
SCAR-20 | Assault,CS20 Case,Mil-Spec,5.83,Mil-Spec,Restricted,10.0,28.26,2.4021,5.83,-3.4279
MP9 | Modest Threat,Danger Zone Case,Mil-Spec,5.9,Mil-Spec,Restricted,10.0,29.016000000000002,2.4663600000000003,5.9,-3.43364
P2000 | Gnarled,Fracture Case,Mil-Spec,5.98,Mil-Spec,Restricted,10.0,29.384999999999998,2.497725,5.98,-3.4822750000000005
Galil AR | Destroyer,Recoil Case,Mil-Spec,5.69,Mil-Spec,Restricted,10.0,25.258,2.14693,5.69,-3.5430700000000006
Nova | Wood Fired,Danger Zone Case,Mil-Spec,6.05,Mil-Spec,Restricted,10.0,29.016000000000002,2.4663600000000003,6.05,-3.5836399999999995
CZ75-Auto | Distressed,Prisma 2 Case,Mil-Spec,7.47,Mil-Spec,Restricted,10.0,44.510000000000005,3.78335,7.47,-3.6866499999999998
P250 | Verdigris,Prisma Case,Mil-Spec,9.39,Mil-Spec,Restricted,10.0,66.69800000000001,5.66933,9.39,-3.72067
MP9 | Capillary,Horizon Case,Mil-Spec,8.4,Mil-Spec,Restricted,10.0,54.410000000000004,4.62485,8.4,-3.77515
Dual Berettas | Elite 1.6,CS20 Case,Mil-Spec,6.55,Mil-Spec,Restricted,10.0,28.26,2.4021,6.55,-4.1479
MP5-SD | Desert Strike,Prisma 2 Case,Mil-Spec,7.97,Mil-Spec,Restricted,10.0,44.510000000000005,3.78335,7.97,-4.18665
MAC-10 | Ensnared,Dreams & Nightmares Case,Mil-Spec,6.33,Mil-Spec,Restricted,10.0,24.332,2.06822,6.33,-4.26178
MAC-10 | Monkeyflage,Recoil Case,Mil-Spec,6.55,Mil-Spec,Restricted,10.0,25.258,2.14693,6.55,-4.40307
Negev | Drop Me,Recoil Case,Mil-Spec,6.55,Mil-Spec,Restricted,10.0,25.258,2.14693,6.55,-4.40307
SG 553 | Danger Close,Danger Zone Case,Mil-Spec,6.9,Mil-Spec,Restricted,10.0,29.016000000000002,2.4663600000000003,6.9,-4.4336400000000005
UMP-45 | Roadblock,Recoil Case,Mil-Spec,6.62,Mil-Spec,Restricted,10.0,25.258,2.14693,6.62,-4.47307
Glock-18 | Catacombs,Chroma Case,Mil-Spec,12.67,Mil-Spec,Restricted,10.0,96.2625,8.1823125,12.67,-4.4876875
SSG 08 | Mainframe 001,Fracture Case,Mil-Spec,7.04,Mil-Spec,Restricted,10.0,29.384999999999998,2.497725,7.04,-4.542275
MP7 | Urban Hazard,Operation Breakout Weapon Case,Mil-Spec,7.83,Mil-Spec,Restricted,10.0,37.803333333333335,3.213283333333333,7.83,-4.616716666666667
Negev | Desert-Strike,Operation Breakout Weapon Case,Mil-Spec,7.83,Mil-Spec,Restricted,10.0,37.803333333333335,3.213283333333333,7.83,-4.616716666666667
Sawed-Off | Morris,Spectrum 2 Case,Mil-Spec,7.33,Mil-Spec,Restricted,10.0,31.137999999999998,2.64673,7.33,-4.68327
Glock-18 | Winterized,Recoil Case,Mil-Spec,6.97,Mil-Spec,Restricted,10.0,25.258,2.14693,6.97,-4.8230699999999995
Sawed-Off | Spirit Board,Dreams & Nightmares Case,Mil-Spec,6.9,Mil-Spec,Restricted,10.0,24.332,2.06822,6.9,-4.83178
P2000 | Lifted Spirits,Dreams & Nightmares Case,Mil-Spec,6.9,Mil-Spec,Restricted,10.0,24.332,2.06822,6.9,-4.83178
SCAR-20 | Green Marine,Shadow Case,Mil-Spec,12.38,Mil-Spec,Restricted,10.0,87.715,7.455775,12.38,-4.924225000000001
UMP-45 | Labyrinth,Operation Breakout Weapon Case,Mil-Spec,8.18,Mil-Spec,Restricted,10.0,37.803333333333335,3.213283333333333,8.18,-4.966716666666667
PP-Bizon | Runic,Fracture Case,Mil-Spec,7.47,Mil-Spec,Restricted,10.0,29.384999999999998,2.497725,7.47,-4.972275
SG 553 | Heavy Metal,Snakebite Case,Mil-Spec,7.4,Mil-Spec,Restricted,10.0,28.05,2.38425,7.4,-5.015750000000001
Five-SeveN | Scrawl,Dreams & Nightmares Case,Mil-Spec,7.19,Mil-Spec,Restricted,10.0,24.332,2.06822,7.19,-5.12178
AUG | Triqua,Spectrum 2 Case,Mil-Spec,7.9,Mil-Spec,Restricted,10.0,31.137999999999998,2.64673,7.9,-5.2532700000000006
MAG-7 | Petroglyph,Gamma 2 Case,Restricted,36.88,Restricted,Classified,10.0,371.9533333333334,31.616033333333338,36.88,-5.263966666666665
USP-S | Ticket to Hell,Dreams & Nightmares Case,Restricted,22.92,Restricted,Classified,10.0,207.54999999999998,17.64175,22.92,-5.278250000000003
Sawed-Off | Yorick,Revolver Case,Mil-Spec,13.95,Mil-Spec,Restricted,10.0,101.96666666666665,8.667166666666665,13.95,-5.282833333333334
Tec-9 | Ice Cap,Gamma Case,Mil-Spec,9.54,Mil-Spec,Restricted,10.0,48.768,4.14528,9.54,-5.3947199999999995
M4A1-S | Night Terror,Dreams & Nightmares Case,Restricted,23.14,Restricted,Classified,10.0,207.54999999999998,17.64175,23.14,-5.498250000000002
G3SG1 | Hunter,Spectrum 2 Case,Mil-Spec,8.18,Mil-Spec,Restricted,10.0,31.137999999999998,2.64673,8.18,-5.53327
P90 | Freight,Fracture Case,Mil-Spec,8.18,Mil-Spec,Restricted,10.0,29.384999999999998,2.497725,8.18,-5.682275
Sawed-Off | Black Sand,Danger Zone Case,Mil-Spec,8.25,Mil-Spec,Restricted,10.0,29.016000000000002,2.4663600000000003,8.25,-5.78364
FAMAS | Meow 36,Recoil Case,Mil-Spec,7.97,Mil-Spec,Restricted,10.0,25.258,2.14693,7.97,-5.8230699999999995
MP9 | Sand Scale,Glove Case,Mil-Spec,16.51,Mil-Spec,Restricted,10.0,124.314,10.56669,16.51,-5.943310000000002
MP7 | Cirrus,Glove Case,Mil-Spec,16.73,Mil-Spec,Restricted,10.0,124.314,10.56669,16.73,-6.163310000000001
MAG-7 | Sonar,Glove Case,Mil-Spec,16.8,Mil-Spec,Restricted,10.0,124.314,10.56669,16.8,-6.233310000000001
CZ75-Auto | Polymer,Glove Case,Mil-Spec,16.94,Mil-Spec,Restricted,10.0,124.314,10.56669,16.94,-6.373310000000002
PP-Bizon | Fuel Rod,Revolver Case,Restricted,60.8,Restricted,Classified,10.0,640.2166666666667,54.418416666666666,60.8,-6.381583333333332
P250 | Inferno,CS20 Case,Restricted,26.41,Restricted,Classified,10.0,233.63333333333333,19.85883333333333,26.41,-6.551166666666671
XM1014 | Scumbria,Shadow Case,Mil-Spec,14.02,Mil-Spec,Restricted,10.0,87.715,7.455775,14.02,-6.5642249999999995
FAMAS | Decommissioned,CS20 Case,Mil-Spec,8.97,Mil-Spec,Restricted,10.0,28.26,2.4021,8.97,-6.567900000000001
M4A4 | Poly Mag,Recoil Case,Mil-Spec,8.75,Mil-Spec,Restricted,10.0,25.258,2.14693,8.75,-6.603070000000001
P90 | Vent Rush,Recoil Case,Restricted,19.93,Restricted,Classified,10.0,156.66333333333333,13.31638333333333,19.93,-6.613616666666669
P250 | Wingshot,Shadow Case,Restricted,82.09,Restricted,Classified,10.0,886.0099999999999,75.31084999999999,82.09,-6.7791500000000156
SG 553 | Tiger Moth,Revolver Case,Restricted,61.37,Restricted,Classified,10.0,640.2166666666667,54.418416666666666,61.37,-6.951583333333332
CZ75-Auto | Circaetus,Snakebite Case,Mil-Spec,9.39,Mil-Spec,Restricted,10.0,28.05,2.38425,9.39,-7.005750000000001
M249 | Downtown,Recoil Case,Restricted,20.57,Restricted,Classified,10.0,156.66333333333333,13.31638333333333,20.57,-7.2536166666666695
MP5-SD | Gauss,Prisma Case,Restricted,32.89,Restricted,Classified,10.0,301.395,25.618575,32.89,-7.271425000000001
MP7 | Mischief,Prisma Case,Mil-Spec,13.17,Mil-Spec,Restricted,10.0,66.69800000000001,5.66933,13.17,-7.5006699999999995
Dual Berettas | Urban Shock,Chroma Case,Restricted,62.3,Restricted,Classified,10.0,644.2333333333333,54.75983333333333,62.3,-7.540166666666664
SG 553 | Dragon Tech,Recoil Case,Restricted,21.0,Restricted,Classified,10.0,156.66333333333333,13.31638333333333,21.0,-7.683616666666669
USP-S | Flashback,Danger Zone Case,Restricted,20.64,Restricted,Classified,10.0,151.94333333333333,12.915183333333331,20.64,-7.724816666666669
AWP | Phobos,Gamma Case,Restricted,48.77,Restricted,Classified,10.0,482.0566666666667,40.97481666666666,48.77,-7.795183333333341
MAC-10 | Classic Crate,CS20 Case,Mil-Spec,10.25,Mil-Spec,Restricted,10.0,28.26,2.4021,10.25,-7.8479
Glock-18 | Oxide Blaze,Danger Zone Case,Mil-Spec,10.32,Mil-Spec,Restricted,10.0,29.016000000000002,2.4663600000000003,10.32,-7.85364
UMP-45 | Plastique,CS20 Case,Restricted,27.83,Restricted,Classified,10.0,233.63333333333333,19.85883333333333,27.83,-7.971166666666669
MP5-SD | Kitbash,Fracture Case,Restricted,21.36,Restricted,Classified,10.0,152.53333333333333,12.965333333333334,21.36,-8.394666666666666
SG 553 | Triarch,Gamma 2 Case,Restricted,40.15,Restricted,Classified,10.0,371.9533333333334,31.616033333333338,40.15,-8.533966666666661
P2000 | Red FragCam,CSGO Weapon Case 3,Mil-Spec,30.75,Mil-Spec,Restricted,10.0,257.65999999999997,21.901099999999996,30.75,-8.848900000000004
Tec-9 | Cracked Opal,Spectrum 2 Case,Mil-Spec,11.53,Mil-Spec,Restricted,10.0,31.137999999999998,2.64673,11.53,-8.88327
MAC-10 | Whitefish,Prisma Case,Mil-Spec,14.88,Mil-Spec,Restricted,10.0,66.69800000000001,5.66933,14.88,-9.21067
MAC-10 | Carnivore,Gamma Case,Mil-Spec,13.52,Mil-Spec,Restricted,10.0,48.768,4.14528,13.52,-9.37472
Five-SeveN | Violent Daimyo,Gamma Case,Mil-Spec,13.88,Mil-Spec,Restricted,10.0,48.768,4.14528,13.88,-9.734720000000001
Sawed-Off | Serenity,Chroma Case,Restricted,64.65,Restricted,Classified,10.0,644.2333333333333,54.75983333333333,64.65,-9.890166666666673
P90 | Traction,Horizon Case,Mil-Spec,14.52,Mil-Spec,Restricted,10.0,54.410000000000004,4.62485,14.52,-9.89515
R8 Revolver | Reboot,Gamma Case,Restricted,51.12,Restricted,Classified,10.0,482.0566666666667,40.97481666666666,51.12,-10.145183333333335
Tec-9 | Snek-9,Horizon Case,Mil-Spec,15.3,Mil-Spec,Restricted,10.0,54.410000000000004,4.62485,15.3,-10.67515
SG 553 | Darkwing,Prisma 2 Case,Restricted,34.17,Restricted,Classified,10.0,276.14,23.471899999999998,34.17,-10.698100000000004
P250 | Valence,Chroma 2 Case,Mil-Spec,14.02,Mil-Spec,Restricted,10.0,38.07,3.23595,14.02,-10.78405
Galil AR | Black Sand,Glove Case,Mil-Spec,21.5,Mil-Spec,Restricted,10.0,124.314,10.56669,21.5,-10.93331
Dual Berettas | Panther,CSGO Weapon Case 3,Mil-Spec,32.96,Mil-Spec,Restricted,10.0,257.65999999999997,21.901099999999996,32.96,-11.058900000000005
SCAR-20 | Enforcer,Prisma 2 Case,Restricted,34.67,Restricted,Classified,10.0,276.14,23.471899999999998,34.67,-11.198100000000004
Galil AR | Signal,Danger Zone Case,Restricted,24.2,Restricted,Classified,10.0,151.94333333333333,12.915183333333331,24.2,-11.284816666666668
Tec-9 | Bamboozle,Prisma Case,Restricted,36.95,Restricted,Classified,10.0,301.395,25.618575,36.95,-11.331425000000003
Nova | Koi,Operation Breakout Weapon Case,Restricted,36.17,Restricted,Classified,10.0,290.14,24.661899999999996,36.17,-11.508100000000006
Sawed-Off | Apocalypto,Prisma 2 Case,Restricted,35.24,Restricted,Classified,10.0,276.14,23.471899999999998,35.24,-11.768100000000004
SSG 08 | Fever Dream,Prisma 2 Case,Restricted,35.6,Restricted,Classified,10.0,276.14,23.471899999999998,35.6,-12.128100000000003
G3SG1 | High Seas,Horizon Case,Restricted,46.28,Restricted,Classified,10.0,400.34,34.0289,46.28,-12.251100000000001
P2000 | Ivory,Operation Breakout Weapon Case,Mil-Spec,15.59,Mil-Spec,Restricted,10.0,37.803333333333335,3.213283333333333,15.59,-12.376716666666667
Glock-18 | Off World,Spectrum 2 Case,Mil-Spec,15.66,Mil-Spec,Restricted,10.0,31.137999999999998,2.64673,15.66,-13.01327
PP-Bizon | Osiris,Operation Breakout Weapon Case,Restricted,37.73,Restricted,Classified,10.0,290.14,24.661899999999996,37.73,-13.068100000000001
SCAR-20 | Powercore,Gamma 2 Case,Restricted,44.78,Restricted,Classified,10.0,371.9533333333334,31.616033333333338,44.78,-13.163966666666663
Desert Eagle | Crimson Web,ESports 2014 Summer Case,Restricted,117.19,Restricted,Classified,10.0,1220.395,103.733575,117.19,-13.456424999999996
P250 | Nevermore,Danger Zone Case,Restricted,27.05,Restricted,Classified,10.0,151.94333333333333,12.915183333333331,27.05,-14.13481666666667
Glock-18 | Wraiths,Shadow Case,Mil-Spec,21.78,Mil-Spec,Restricted,10.0,87.715,7.455775,21.78,-14.324225000000002
P250 | Hive,CSGO Weapon Case 2,Mil-Spec,27.34,Mil-Spec,Restricted,10.0,150.0875,12.7574375,27.34,-14.5825625
MAC-10 | Malachite,Chroma Case,Restricted,69.42,Restricted,Classified,10.0,644.2333333333333,54.75983333333333,69.42,-14.660166666666669
MAG-7 | Hard Water,Operation Hydra Case,Mil-Spec,58.38,Mil-Spec,Restricted,10.0,513.79,43.672149999999995,58.38,-14.707850000000008
P250 | Supernova,Operation Breakout Weapon Case,Restricted,39.51,Restricted,Classified,10.0,290.14,24.661899999999996,39.51,-14.848100000000002
MAG-7 | Heat,Chroma 2 Case,Restricted,57.38,Restricted,Classified,10.0,497.12999999999994,42.256049999999995,57.38,-15.123950000000008
Dual Berettas | Dualing Dragons,Shadow Case,Mil-Spec,22.71,Mil-Spec,Restricted,10.0,87.715,7.455775,22.71,-15.254225000000002
MP7 | Powercore,Horizon Case,Restricted,49.55,Restricted,Classified,10.0,400.34,34.0289,49.55,-15.521099999999997
Glock-18 | Clear Polymer,Snakebite Case,Mil-Spec,18.15,Mil-Spec,Restricted,10.0,28.05,2.38425,18.15,-15.765749999999999
Glock-18 | Warhawk,Horizon Case,Mil-Spec,21.78,Mil-Spec,Restricted,10.0,54.410000000000004,4.62485,21.78,-17.15515
P2000 | Turf,Glove Case,Mil-Spec,28.05,Mil-Spec,Restricted,10.0,124.314,10.56669,28.05,-17.483310000000003
MAC-10 | Allure,Fracture Case,Restricted,30.83,Restricted,Classified,10.0,152.53333333333333,12.965333333333334,30.83,-17.864666666666665
Tec-9 | Fubar,Danger Zone Case,Mil-Spec,21.0,Mil-Spec,Restricted,10.0,29.016000000000002,2.4663600000000003,21.0,-18.53364
G3SG1 | Stinger,Glove Case,Restricted,78.67,Restricted,Classified,10.0,707.13,60.106049999999996,78.67,-18.563950000000006
